Scenario,Stage,Reaction,Response,Emotion
Your boyfriend wants you to call him Daddy.,,Act distracted,Action,N
Your boyfriend has been showering you with love and attention. He keeps telling you he'll give you anything you need. ,Grooming & Gaming,"""All signs point to no.""",Response,N
Your parents have been fighting at home. Your latest crush offers for you to stay at his place.,Grooming & Gaming,Ask a friend,Action,N
The guy you have a big crush is having money problems. He needs your help and asks you for a favor.,Exploitation,Ask your dad,Action,N
A guy you don't know adds you on Tik Tok. ,,"""Awesome!""",Response,N
Your guy gave you a new phone. Now you can share secret text messages and pictures just between you two.,Grooming & Gaming,"""Awkward.""",Response,N
You realize the guy you've been seeing is older than you thought.,,"""Aww yeah.""",Response,N
You're at a party and people are taking turns giving one guy sexual favors.,,"""Baby, we need to talk.""",Response,N
A guy you just met at a party asks to take you for dinner.,,Be honest,Action,N
A guy you just met is sexting you.,sexting,Bitch slap,?,N
A guy you met at a party texts you the next day. You don't remember giving him your phone number.,Luring? ,Break up,Action,N
"A guy you really like asks you to pay him back for a gift he bought you last week. If you don't do it, he might break up with you.",Exploitation ?,Brush it off,Action,Ne
A random guy at the party asks you if want to go smoke with him.,,Call a friend,Action,Ne
Porn pops up on your boyfriends computer. ,,Call a hotline,Action,P
The guy you've been dating loves it when you dress up. He wants to pay to get your nails done.,Grooming & Gaming,Call for help,Action,N
The person you've been going out with starts driving somewhere you don't recognize.,,Confide in your mom,Action,Ne
You are being followed by a group of older boys.,,"""Cool.""",Response,Ne
You meet a cute boy. He offers to hold your purse and wallet with your ID in it. ,,"""Count me in!""",Response,N
You notice your friend has a few more bruises and swelling than normal. She's avoiding talking about it. ,,"""Count me out.""",Response,Ne
"A message pops up on Instagram. ""Where do you live?"" ""How old are you?""",,"""Creeper.""",Response,Ne
The guy you're dating said he loves you. Now he's acting differently.,Coercion & Manipulation ? ,Deal with it,Action,Ne
You're approached a group of guys you don't know at the mall.,,Disgusting,Response,N
You're surfing the internet with a friend. She dares you to take your shirt off for a live webcam.,,"""Don't call me.""",Response,Ne
"You're the new girl at school, and you get invited to a party by a cute guy. When you show up, you're the only one there. ",,Dump him,Action,N
"You've been obsessing over a guy you met outside of school. You're not sure where he's from, but he knows exactly the right times to show up.",Luring,Enjoy it,Action,Ne
"Your best friend is asking you to keep a secret, but you think she's in trouble.",,"""Excuse me!""",Response,Ne
Your best girlfriend gets repeated calls from the new guy she is seeing. ,,Fart and dart,Action,Ne
Your best girlfriend is bragging about the older guy she is dating.,,"""Finally.""",Response,Ne
The person you're dating gets frustrated and hits you. Then immediately apologizes. ,,Find a way to bail,Action,P
